carrera	name	gender
Ingeniería	NEHUÉN GABRIEL	male
Ingeniería	MARCO	male
Ingeniería	FRANCISCO MAURICIO	male
Ingeniería	MATIAS	male
Ingeniería	DAMIÁN JAIL	male
Ingeniería	JUAN FRANCISCO	male
Ingeniería	VALENTÍN	male
Ingeniería	THOMÁS GERMÁN	male
Ingeniería	JORGE ALEJANDRO	male
Ingeniería	LEONEL	male
Ingeniería	VALENTIN	male
Ingeniería	FRANCISCO EZEQUIEL	male
Ingeniería	VICTORIA	female
Ingeniería	SANTIAGO	male
Ingeniería	CRISTIAN DAMIÁN	male
Ingeniería	VALENTINA	female
Ingeniería	LUCIO	male
Ingeniería	BIANCA JOCELYN	female
Ingeniería	LUCIANO	male
Ingeniería	JOSEFINA MARIA	female
Ingeniería	SANTIAGO	male
Ingeniería	CAROLINA	female
Ingeniería	SEBASTIÁN ARÓN	male
Ingeniería	JULIETA	female
Ingeniería	LUCAS NICOLAS	male
Ingeniería	JACQUES	male
Ingeniería	MANUEL	male
Ingeniería	AGUSTIN	male
Ingeniería	PAZ	female
Ingeniería	RICCARDO	male
Ingeniería	PEHUÉN SANTIAGO	male
Ingeniería	MAXIMO	male
Ingeniería	JUAN MARTIN	male
Ingeniería	MAGALI	female
Ingeniería	PEDRO	male
Ingeniería	ISABEL	female
Ingeniería	JOSÉ MARÍA	male
Ingeniería	BAUTISTA	male
Ingeniería	PALOMA FAITH	female
Ingeniería	TANIA CAMILA	female
Ingeniería	AXEL FACUNDO	male
Ingeniería	GREGORIO	male
Ingeniería	ALEJO	male
Ingeniería	HELENA	unknown
Ingeniería	EMANUEL	male
Ingeniería	WEIXING	unknown
Licenciatura	LISANDRO	male
Licenciatura	LORENZO	male
Licenciatura	AGUSTIN NICOLAS	male
Licenciatura	FRANCO ANDRES	male
Licenciatura	AGUSTIN	male
Licenciatura	FRANCISCO	male
Licenciatura	EDUARDO	male
Licenciatura	SOFÍA SARAH	female
Licenciatura	TOBIAS	male
Licenciatura	FELIX C	male
Licenciatura	VICTORIA	female
Licenciatura	LUCIA	female
Licenciatura	CLARA	female
Licenciatura	KATHERINA	female
Licenciatura	ISABEL EIREANN	female
Licenciatura	TOMMY	male
Licenciatura	MATIAS	male
Licenciatura	AGUSTIN	male
Licenciatura	AGOSTINA	female
Licenciatura	PALOMA	female
Licenciatura	FRANCO	male
Licenciatura	BELÉN	female
Licenciatura	CHIARA	female
Licenciatura	PILAR	female
Licenciatura	SANTINO	male
Licenciatura	MANUEL SAUL	male
Licenciatura	DELFINA PAZ	female
Licenciatura	NICOLAS	male
Licenciatura	SOFÍA	female
Licenciatura	CARMELA	female
Licenciatura	IGNACIO	male
Licenciatura	MANUEL	male
Licenciatura	GONZALO	male
Licenciatura	FELIPE	male
Licenciatura	ROCIO	female
Licenciatura	NICOLE	female
Licenciatura	FACUNDO	male
Licenciatura	SOL ALEJANDRA	female
Licenciatura	HERNAN	male
Licenciatura	BRUNO EZEQUIEL	male
Licenciatura	MILTON	male
Licenciatura	CIPRIANO	male
Licenciatura	SANTINO JOAQUÍN	male
Licenciatura	LORENZO	male
Licenciatura	MAGDALENA	female
Licenciatura	GONZALO	male
Licenciatura	LARA	female
Licenciatura	MARCOS	male
Licenciatura	MATÍAS JOSÉ	male
Licenciatura	TOMAS	male
Licenciatura	JULIETA GHISLAINE	female
Licenciatura	FACUNDO	male
Licenciatura	TOBIAS	male
Licenciatura	MARCOS MANUEL	male
Licenciatura	ANTONELLA	female
Licenciatura	RAMIRO	male
Licenciatura	EZEQUIEL	male
Licenciatura	MARGARITA	female
Licenciatura	JOAQUIN	male
