bigram phrase,frequency
a sergio,1
candidato y,1
a prueba,1
pública y,1
una vez,1
hablo en,1
una ovodonación,1
lógica del,1
que filmus,1
40 años,1
transición y,1
mundo ves,1
sus padres,1
termina siendo,1
no estoy,1
dialogar sobre,1
bastante mal,1
ojalá a,1
rescatas la,1
con las,1
la del,1
mañana pero,1
del discurso,1
malcorra y,1
el optimismo,1
muy de,1
país lo,1
sea alguien,1
ideas frescas,1
compitió con,1
sí por,1
ellos hay,1
sostienen de,1
de reflexión,1
practican deportes,1
enorme mayoría,1
todavía en,1
la semana,1
de fernando,1
pregunto sobre,1
construir equipos,1
faltaba a,1
vos con,1
aventura y,1
otra alternativa,1
hacer una,1
lo descalificamos,1
sí no,1
haya fragmentación,1
cuñado mis,1
natural que,1
generosa y,1
cristina sino,1
primer mandatario,1
es raro,1
manejar y,1
auténtico hizo,1
en nuestra,1
votos hay,1
ganaron no,1
ustedes aceptaban,1
eso la,1
cristina que,1
mauricio al,1
ahora las,1
mi cuñado,1
presidente que,1
de explicar,1
bien es,1
allá del,1
en vez,1
cómo lo,1
de padre,1
involucrarse en,1
club de,1
una de,1
mal de,1
de revivir,1
k y,1
si cristina,1
amigos no,1
cuervo larroque,1
es pero,1
zen que,1
libro el,1
cristina fernández,1
una crisis,1
macri me,1
se juegan,1
tu misma,1
engañamos y,1
estadistas y,1
etapas históricas,1
el símbolo,1
hecho las,1
porque creo,1
ahí acompañándolos,1
muy reivindicativa,1
el 2004,1
uno y,1
unidos a,1
dibujó en,1
construir una,1
de peso,1
es firmar,1
su peinado,1
forzado es,1
2001 y,1
pj con,1
las estrategias,1
porque me,1
el salón,1
ayudarlo y,1
40 ó,1
estar todos,1
conocida y,1
mandatario y,1
todos también,1
y qué,1
autoritarismo la,1
cristina la,1
profeta en,1
para lograrlo,1
lousteau no,1
cambiemos esté,1
ganar en,1
lo puedo,1
de mañana,1
del 2019,1
el crédito,1
entrevista sin,1
colonia no,1
quintana aranguren,1
de ambos,1
sociedad y,1
esta nueva,1
mejor que,1
en washington,1
sigue ninguneando,1
porque estuvo,1
la calmabas,1
peronismo son,1
paloma uruguay,1
más recorrés,1
país esto,1
de arriba,1
extrañás ese,1
o de,1
al miedo,1
ganando por,1
mismo decimos,1
bien re,1
una campaña,1
no pudo,1
elección que,1
cuenta en,1
votan por,1
después dos,1
2001 nosotros,1
ya gobernaron,1
tenga libertad,1
misma identidad,1
muy centrado,1
no comparto,1
familiares en,1
barba dijo,1
macri susana,1
están pasando,1
con esa,1
que todo,1
hoy qué,1
hace mucho,1
algo no,1
armonía y,1
que pensar,1
le da,1
cree que,1
cantando ya,1
viene con,1
les llegan,1
lucas 9,1
la noche,1
visión más,1
para quiénes,1
solo se,1
calmabas que,1
y martín,1
qué pasa,1
contra el,1
dar certificado,1
gabinete pero,1
peña na,1
suplentes como,1
de ciertas,1
todavía está,1
que había,1
tenía para,1
peor ya,1
aporte que,1
peor y,1
sus propias,1
para luciana,1
puede salir,1
hablarme del,1
espaldas maría,1
ya sin,1
años es,1
a mí,1
adapta permanentemente,1
al peronismo,1
armado y,1
uno mira,1
afuera es,1
menem no,1
organizarse metodológicamente,1
qué tenés,1
querés dar,1
puede otra,1
su forma,1
integrándose al,1
trabaja para,1
es importante,1
subestimar al,1
historia recuerde,1
junto al,1
edad máximo,1
dicen se,1
gente increíble,1
somos amigos,1
laburando todos,1
hubieras rescatado,1
tan enfermo,1
va en,1
aunque cada,1
dependerá de,1
bueno y,1
perfecto la,1
acá porque,1
70 me,1
ser amigo,1
poder parece,1
para abajo,1
como política,1
el asfalto,1
haciendo como,1
perón como,1
hay muchos,1
puede y,1
un rato,1
mismos tenemos,1
suma es,1
cualquiera de,1
jaime durán,1
suegra por,1
mayoría que,1
y vinieron,1
todo pienso,1
tener los,1
más chiquito,1
política pero,1
son decisiones,1
aníbal y,1
algunos lugares,1
aportar a,1
representa para,1
las redes,1
esta lógica,1
preguntás hoy,1
sin buscar,1
mundo por,1
pasaron por,1
michetti mauricio,1
una máquina,1
estado la,1
íbamos a,1
no terminar,1
clara desde,1
provincias gracias,1
términos de,1
tres años,1
una opción,1
peña jefe,1
hizo un,1
país con,1
yo en,1
qué representa,1
en cada,1
jefe yo,1
a un,1
cama le,1
una amistad,1
menos tu,1
fueron se,1
así liberar,1
ambiente del,1
que a,1
revivir los,1
poder funciona,1
un cuñado,1
ese caos,1
crecer al,1
el ambiente,1
decilo hoy,1
canosa 12,1
gobierno dice,1
embargo todavía,1
que sí,1
son dos,1
mal que,1
ese tiempo,1
como seis,1
eran los,1
sello diferente,1
esconden las,1
sus defectos,1
meterlos en,1
orgullosos de,1
kirchner qué,1
trabajando juntos,1
como dijo,1
de autoestima,1
la guerra,1
verte en,1
no moreno,1
respeto mucho,1
energía increíble,1
gente no,1
rendimos tienen,1
al descubierto,1
de verdad,1
revista noticias,1
estuvo con,1
repartió todos,1
tener esperanza,1
ciudadanos que,1
construir un,1
ambos lados,1
finalmente llegó,1
que trabajan,1
mí por,1
sea durán,1
y mi,1
tarea es,1
que engañamos,1
te reconocen,1
massa mauricio,1
nosotros no,1
crisis como,1
puede hacer,1
razón de,1
puede lograr,1
contagiarla nosotros,1
política es,1
su creatividad,1
podamos dar,1
es en,1
juegan todo,1
día fue,1
70 a,1
hoy año,1
sano que,1
ver qué,1
el tattoo,1
cosa viste,1
discurso permanentemente,1
al sistema,1
la lógica,1
equipo de,1
habíamos empezado,1
con cualquiera,1
ustedes dicen,1
círculo del,1
suma que,1
de candidato,1
recorre el,1
derecho ojalá,1
perfecta y,1
trabajo muy,1
es ya,1
sin tratamiento,1
eso tienen,1
formaron ni,1
alguien de,1
que nada,1
por los,1
el día,1
vivimos acá,1
de persecución,1
expresan los,1
lo dibujó,1
al mundo,1
en 2005,1
parte pero,1
bloquear ese,1
ves que,1
no tengo,1
a una,1
defunción si,1
algunos nombres,1
crecer a,1
de sus,1
problemas de,1
un día,1
todo viene,1
entonces los,1
es clara,1
confianza vos,1
desprolija solo,1
corbata una,1
no acumulo,1
de buscar,1
qué decís,1
mismos valores,1
liberación qué,1
hablabas de,1
este círculo,1
gobierno o,1
elección no,1
solo y,1
tenso porque,1
sacando a,1
pero uno,1
que tenía,1
12 de,1
misma edad,1
su gabinete,1
la pérdida,1
lo definió,1
camino habíamos,1
esa cosa,1
pero ojalá,1
pública marcos,1
conocimiento generando,1
las respuestas,1
están jugando,1
chicos en,1
construyendo un,1
herramientas para,1
aranguren stanley,1
revés es,1
incluso como,1
llegan las,1
cuenta lo,1
su identidad,1
estamos acá,1
hicieron integrándose,1
abajo de,1
los kirchneristas,1
vas construyendo,1
ya lo,1
suicidándose por,1
cuyo mayor,1
gente viva,1
critican a,1
kirchnerista como,1
pocos días,1
na en,1
gobernaron o,1
sos más,1
dejar crecer,1
le pueda,1
por darle,1
sin embargo,1
fernández de,1
mucha gente,1
como si,1
fernando espinoza,1
que cambió,1
dar las,1
pasando que,1
nada hoy,1
por viviana,1
si sos,1
cuántos votos,1
estaba viviendo,1
volver cristina,1
vidal a,1
de 2017,1
hace 40,1
las cloacas,1
