posicion	jugador	club	puntos	categoria
35	Codina, Ana                        	San Lorenzo                   	2588	0
36	Yamamoto, Leandro                  	Alvear Club                   	2579	0
37	Alto, Matias                       	Libre                         	2548	0
38	De Francesco, Nicolás              	Fenix                         	2543	0
39	De Vincenzo, Matias                	La Legión TDM                 	2534	0
40	Sotto, Tomás                       	Ntra. Señora Lourdes          	2528	0
41	Waldszan, Matías                   	CTDM Pato Nizetich            	2516	0
42	Weitzner, Mateo                    	Libre                         	2502	0
43	Baca, Emir                         	San Lorenzo                   	2485	0
44	Criado, Federico                   	Fenix                         	2473	0
45	Kacowicz, Santiago                 	Libre                         	2473	0
46	Yamashiro, Juan                    	Nikkei TDM                    	2461	0
47	Brizuela, Hernán                   	Ferrocarril Oeste             	2455	0
48	Conde Meira, Matías                	Peretz                        	2448	0
49	Trujillo, Hernán                   	Alvear Club                   	2434	0
50	Len, Daniel                        	Atlanta                       	2421	0
51	Cieza, Ivan                        	UGAB                          	2420	0
52	Gabaldon, Christopher              	Fenix                         	2416	0
53	Fukuhara, Paula                    	Nikkei TDM                    	2408	0
54	Costantino, Gabriel                	CEDIMA                        	2397	0
55	Delgadillo, Rodrigo                	San Lorenzo                   	2385	0
56	Barak, Gonzalo                     	Atlanta                       	2378	0
57	Kanashiro, Joaquín                 	Peretz                        	2368	0
58	Mariño, Ignacio Javier             	CEDIMA                        	2366	0
59	Spinelli, Franco                   	Ferrocarril Oeste             	2363	0
60	Nizetich, Patricio                 	CTDM Pato Nizetich            	2351	0
61	Lorenzotti, Gonzalo                	Tigre TDM                     	2296	0
62	Blasco, Francisco Thomas           	La Legión TDM                 	2295	0
63	Tolosa, Santiago                   	CTDM Pato Nizetich            	2293	0
64	Sanchi, Tomas                      	Alvear Club                   	2292	0
65	Peralta Bello, Valentino           	Gimnasty                      	2289	0
66	Gonzales, Sebastian                	Libre                         	2279	0
67	Schab, Brian                       	Libre                         	2243	0
68	Posadas, Mariano                   	Fenix                         	2241	0
69	Riback, Juan                       	Macabi                        	2240	0
70	Minc, Fernando                     	Top Minc                      	2236	0
71	Koatz, Andrés                      	Peretz                        	2225	0
72	Carpio, Federico                   	TMR                           	2225	0
73	Casal, Octavio                     	Rioja                         	2224	1
74	Alcaraz, Gonzalo                   	Fenix                         	2222	1
75	Fernandez, Leoncio                 	Ferrocarril Oeste             	2219	1
76	Lopez Marquez, Ezequiel            	Fenix                         	2217	1
77	Bronstein, Leandro                 	River Plate                   	2216	1
78	Sanchi, Francisco                  	Libre                         	2206	1
79	Tresca, Gastón                     	Fenix                         	2199	1
80	Heis, Nicolás                      	Garin Tenis de Mesa           	2186	1
81	Perez Altera, Ignacio              	Peretz                        	2182	1
82	Riestra, Tomás                     	Macabi                        	2179	1
83	Storni, Gino                       	Peretz                        	2177	1
84	Bruno, Nicolás                     	Estacion Ping Pong            	2164	1
85	Marsaglia, Matías                  	Tigre TDM                     	2161	1
86	Beloqui, Ramón                     	River Plate                   	2161	1
87	Politti, Giuliano                  	Rioja                         	2160	1
88	Falicoff, Iván                     	River Plate                   	2159	1
89	Gonzalez Dos Santos, Patricio      	Ntra. Señora Lourdes          	2159	1
90	Perez, Pablo                       	Escuela Cangallo              	2149	1
