posicion	jugador	club	puntos	categoria
191	Peña, Franco                       	Atlanta                       	1834	1
192	Gonzalez, Manuel A                 	Oeste TDM Catán               	1832	1
193	Salazar, Ramón                     	Gimnasty                      	1831	1
194	Ponieman, Félix                    	River Plate                   	1831	1
195	Arroyo, Hernán                     	TMR                           	1829	1
196	Alzate, Camilo                     	Libre                         	1828	1
197	Duran, Andrés                      	UBA Exactas                   	1824	1
198	Krowicki, Nahuel                   	Intendente Agüero             	1822	1
199	Epsztein, Leonardo                 	Atlanta                       	1816	1
200	Rossi, Nicolás                     	Rioja                         	1812	1
201	Sanchez, Claudio                   	Ingeniero Acosta              	1812	1
202	Quiroz, Arny Alberto               	Urquiza                       	1811	1
203	Perez Colman, Imanol               	River Plate                   	1810	1
204	Darcyl, Leonardo                   	Padilla                       	1810	1
205	Morales, Alex                      	Gimnasty                      	1808	1
206	Lago, Pablo                        	Libre                         	1808	1
207	Buzzi, Maximiliano                 	Top Minc                      	1808	1
208	Puerta, Alejandro                  	Oeste TDM Catán               	1805	2
209	Lima, Facundo                      	Cedem nº 2                    	1800	2
210	Matlin, Federico Jose              	Atlanta                       	1800	2
211	Martinez Tapia, José Manuel        	Urquiza                       	1799	2
212	Carpio, Francisco                  	TMR                           	1798	2
213	Ding, Divina                       	Alvear Club                   	1797	2
214	Bordenave, Galo                    	Nikkei TDM                    	1794	2
215	Szlit, Joel                        	Alvear Club                   	1791	2
216	Avian, Ignacio                     	Fenix                         	1788	2
217	Pierini, Ariel                     	Ateneo de Versailles          	1785	2
218	Beltran, Nicolás                   	Libre                         	1784	2
219	Achaval, Joaquin                   	Nikkei TDM                    	1783	2
220	Szneiberg, Hernán                  	Alvear Club                   	1778	2
221	Ortega, Maximiliano                	Soc. Fomento CAVA             	1778	2
222	Candela, Juan                      	Fenix                         	1777	2
223	Strah, Juan Pablo                  	Ntra. Señora Lourdes          	1770	2
224	Moralejo, Fabián                   	Soc. Fomento CAVA             	1768	2
225	Satriani, Genaro                   	Ferrocarril Oeste             	1766	2
226	Lamazon, Gustavo Gabriel           	Soc. Fomento CAVA             	1761	2
227	Rivero, Miguel                     	San Lorenzo                   	1760	2
228	Batista, Valentina                 	Libre                         	1759	2
229	Sato, Maximiliano                  	Rioja                         	1758	2
230	Levisman, Gustavo                  	Alvear Club                   	1752	2
231	Quintana, Lucas                    	Ntra. Señora Lourdes          	1752	2
232	Bragado, Matías                    	Soc. Fomento CAVA             	1747	2
233	Micheli, Luis                      	UBA Exactas                   	1747	2
234	Rondon, Elis                       	Padilla                       	1746	2
235	Samaja, Facundo                    	CTDM Pato Nizetich            	1744	2
236	Piras, Roberto                     	Fenix                         	1743	2
237	Bellusci, Pablo                    	Fenix                         	1741	2
238	Nagata, Sebastián                  	Escuela Cangallo              	1739	2
239	Silva, Alfredo                     	River Plate                   	1737	2
240	Paredes, Bryan                     	Libre                         	1735	2
241	Kim, Hae Ja                        	River Plate                   	1734	2
242	Martinez, Victor                   	AsociacionYabrudense          	1734	2
243	Rodriguez, Cristian                	Rioja                         	1732	2
244	Frezza, Leonardo                   	TMR                           	1731	2
245	Medina, Nicolas                    	CTDM Pato Nizetich            	1730	2
246	Quagliardi, Franco                 	Vito Dumas TdM                	1727	2
247	Navarro, Ian                       	C.A.S.A. de Padua             	1727	2
248	Brusco, Agustín                    	Libre                         	1725	2
249	Sanchez, Ariel H.                  	Top Minc                      	1725	2
250	Aguilar, Cruz Elyana               	CEDIMA                        	1724	2
251	Caram, Alejo                       	Inst. Compañía María          	1721	2
252	Sculco, Nahuel                     	Alvear Club                   	1720	2
253	Moleda, Damián                     	Libre                         	1718	2
254	Villarroel, Franco                 	Libre                         	1717	2
255	Puerta, Walter                     	Oeste TDM Catán               	1714	2
256	Gonzalez, Paulina                  	Alvear Club                   	1713	2
257	Guassardo, Paulo                   	Def. Santos Lugares           	1711	2
258	San Millan, Federico               	La Legión TDM                 	1711	2
259	Ferreyra, Luis Alberto             	Fenix                         	1711	2
260	Ibarra, Fernando                   	San Lorenzo                   	1708	2
261	Maehama, Federico                  	Inst. Compañía María          	1707	2
262	Chaible, René                      	Escuela Cangallo              	1707	2
263	Yonamine, Matías                   	La Patriada                   	1704	2
264	Mastropietro, Juan                 	Libre                         	1704	2
265	Romero, Elias                      	CEDIMA                        	1704	2
266	Nakandakare, Isao                  	Obras Sanitarias              	1700	2
267	Bellusci, Nicolás                  	Fenix                         	1700	2
268	Perez, Lucas                       	Fenix                         	1697	2
269	Jang, Agustín                      	Ferrocarril Oeste             	1697	2
270	Fazio, Agustín                     	UGAB                          	1693	2
271	Riback, Tobias                     	Macabi                        	1692	2
272	Iwasa, Nicolás                     	La Patriada                   	1690	2
273	Cabrera, Tomas                     	Top Minc                      	1688	2
274	Regner, Martín                     	U.V.V.A.                      	1687	2
275	Leybovich, Guillermo               	Ferrocarril Oeste             	1686	2
276	Oppezzo, Sebastián                 	River Plate                   	1685	2
277	Santos Lima, Roberto               	La Legión TDM                 	1685	2
278	Lemos, Ulises                      	Fenix                         	1684	2
279	Escobar, Carlos                    	Peñarol                       	1679	2
280	Candela, Martín                    	River Plate                   	1678	2
281	Lotito, Tomás                      	Sol Argentino                 	1678	2
282	Fragapane, Leonardo Nicolas        	Nichia Gakuin                 	1678	2
283	Fragapane, Isabella                	Nichia Gakuin                 	1677	2
284	Mallo, Federico Oscar              	Alvear Club                   	1677	2
285	Gorrostorrazo, Iván                	Libre                         	1676	2
286	Sosa Torales, Enzo                 	Oeste TDM Catán               	1675	2
287	Müller, Daniel                     	La Legión TDM                 	1674	2
288	Hurtado, Franco                    	San Lorenzo                   	1672	2
289	Passera, Santiago                  	Top Minc                      	1672	2
290	Buscema, Milton                    	Alvear Club                   	1670	2
291	Gestido, Martín                    	Libre                         	1663	2
292	Sanchez, Javier                    	Libre                         	1662	2
293	Sierra, Agustín                    	Libre                         	1662	2
294	Olmedo, Pablo                      	Ntra. Señora Lourdes          	1662	2
295	Ence, Marcos Emmanuel              	Ingeniero Acosta              	1662	2
296	Acuña, Luis                        	Inst. Compañía María          	1661	2
