indra	prov	depto	circuito	secelec	departamento	x	y
020340491	02	034	0491	3	Ensenada	-57.98778824752078	-34.84478114371066
020340491A	02	034	0491A	3	Ensenada	-57.985088086912576	-34.8101992116065
020340492	02	034	0492	3	Ensenada	-57.902619067365784	-34.83973227891158
020350773	02	035	0773	1	Escobar	-58.83943406420268	-34.34830177368833
020350773A	02	035	0773A	1	Escobar	-58.73941887530952	-34.42022254702244
020350773B	02	035	0773B	1	Escobar	-58.76917043785946	-34.40238838994118
020350774	02	035	0774	1	Escobar	-58.77916683760763	-34.3223871473258
020350775	02	035	0775	1	Escobar	-58.72479388206787	-34.370807703261434
020350775A	02	035	0775A	1	Escobar	-58.718235540910314	-34.27995278219157
020360286	02	036	0286	3	Esteban Echeverria	-58.50501210940612	-34.74353424516185
020360286A	02	036	0286A	3	Esteban Echeverria	-58.49569102456419	-34.77050408931573
020360287	02	036	0287	3	Esteban Echeverria	-58.4998577725435	-34.82124469753413
020360287A	02	036	0287A	3	Esteban Echeverria	-58.48957349626138	-34.83902385562195
020360287B	02	036	0287B	3	Esteban Echeverria	-58.48502098739073	-34.89077374393728
020360287C	02	036	0287C	3	Esteban Echeverria	-58.46190807292265	-34.867033506842695
020360287D	02	036	0287D	3	Esteban Echeverria	-58.43823041038622	-34.86070741843601
020360288	02	036	0288	3	Esteban Echeverria	-58.463320616496674	-34.82351111519015
020360288A	02	036	0288A	3	Esteban Echeverria	-58.47409866171918	-34.8100660244579
020360288B	02	036	0288B	3	Esteban Echeverria	-58.49022439621855	-34.796993963016554
020360291	02	036	0291	3	Esteban Echeverria	-58.44316507862449	-34.81282310764067
020360291A	02	036	0291A	3	Esteban Echeverria	-58.45873629830379	-34.79259596708287
020370292	02	037	0292	2	Exaltacion de la Cruz	-59.0986447601308	-34.290425554380406
020370293	02	037	0293	2	Exaltacion de la Cruz	-59.014124441722466	-34.34018380423527
020370294	02	037	0294	2	Exaltacion de la Cruz	-59.08465939325409	-34.34917885412565
020370295	02	037	0295	2	Exaltacion de la Cruz	-59.11639321923262	-34.39003252290188
020370296	02	037	0296	2	Exaltacion de la Cruz	-59.1409978442895	-34.236940238697024
020370297	02	037	0297	2	Exaltacion de la Cruz	-59.19388278999849	-34.308746513648785
020370298	02	037	0298	2	Exaltacion de la Cruz	-59.28336643937675	-34.2277580942211
020380302	02	038	0302	3	Florencio Varela	-58.27431122458465	-34.79649690482935
020380302A	02	038	0302A	3	Florencio Varela	-58.30815735078486	-34.814329212146546
020380302B	02	038	0302B	3	Florencio Varela	-58.28923843178272	-34.837518195723895
020380302C	02	038	0302C	3	Florencio Varela	-58.26296557594602	-34.830793037083865
020380302D	02	038	0302D	3	Florencio Varela	-58.24203143388413	-34.81202908216937
020380302E	02	038	0302E	3	Florencio Varela	-58.22247782223697	-34.82792115277125
020380302F	02	038	0302F	3	Florencio Varela	-58.281467836878626	-34.93365867693502
020380303	02	038	0303	3	Florencio Varela	-58.24306344851324	-34.92183510471602
