circuito	FRENTE DE TODOS	JUNTOS POR EL CAMBIO	CONSENSO FEDERAL	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	FRENTE NOS	MOVIMIENTO DE AVANZADA SOCIALISTA	FRENTE PATRIOTA	PARTIDO DIGNIDAD POPULAR	MOVIMIENTO ORGANIZACION DEMOCRATICA
02001000007	117	228	30	7	0	0	3	0	1
02002000010	2406	2794	251	82	25	7	8	2	4
02002000011	288	75	13	4	1	0	3	0	0
02002000012	114	89	4	1	1	0	1	0	0
02002000013	35	94	3	2	0	2	0	0	0
02002000014	195	240	27	7	0	0	2	1	0
02002000015	61	25	2	0	1	0	0	0	0
02003000017	4924	9471	1338	684	189	186	35	23	15
02003000018	12478	6994	1668	1097	432	260	92	105	27
02003000019	40250	15488	4154	2971	1188	654	177	219	93
02003000020	12475	8238	1878	1207	401	233	60	61	26
02003000021	24315	9827	2539	2032	680	452	127	127	64
02003000022	16260	6027	1501	1163	407	243	84	77	41
02004000023	4576	4564	625	412	80	94	18	18	5
02004000024	3507	3135	443	283	79	83	23	19	9
02004000025	4989	2366	403	276	69	61	29	14	6
02004000026	3069	369	89	67	36	8	5	5	2
02004000027	10904	3074	637	441	241	88	47	28	8
02004000030	2025	1633	311	197	34	44	14	4	2
02004000031	488	397	77	44	7	8	3	2	0
02004000032	1793	859	224	114	29	51	11	6	3
02004000033	3791	3605	703	366	73	75	24	6	4
02004000034	8612	5186	1065	623	165	140	46	34	16
02004000037	7743	4886	878	574	138	115	38	20	11
02004000038	14261	9248	1783	1026	277	255	75	38	15
02004000039	24460	10188	2226	1236	541	261	111	72	34
02004000040	26108	17049	3694	1930	548	403	120	84	41
02005000046	5308	5404	530	204	143	60	17	13	15
02005000048	1	7	0	0	0	0	0	0	0
02005000049	7	7	0	1	0	0	0	0	1
02005000050	5	17	0	0	0	0	0	0	0
02005000051	0	0	0	0	0	0	0	0	0
02005000052	15	39	1	1	0	0	0	0	0
02005000053	2	5	0	0	0	0	0	0	0
02005000055	8	59	6	0	1	0	0	0	0
02005000056	20	29	4	1	0	0	1	0	0
02005000057	4	3	0	0	0	0	0	0	0
02006000060	14059	15819	1588	933	476	175	84	50	65
02006000061	9	34	0	1	0	0	1	0	0
02006000062	675	1210	105	38	16	10	5	6	3
02006000063	2	9	0	0	0	0	0	0	0
02006000065	5	21	2	0	0	0	0	0	0
02006000066	20	36	3	2	2	0	0	0	0
02006000067	859	1253	79	69	24	17	8	4	2
02006000068	4	18	0	0	0	0	0	0	0
02006000069	0	9	0	0	0	0	0	1	0
02007000072	2235	4495	332	341	203	118	25	17	11
02007000073	5339	8062	748	763	508	123	43	25	25
02007000074	5416	5723	703	678	417	121	42	25	35
02007000075	2024	3429	352	307	201	59	22	20	15
02007000076	10597	10873	1277	1212	1257	263	117	82	95
02007000077	1051	1090	131	81	129	26	12	11	8
02007000078	1053	2190	94	207	76	28	23	5	4
02007000079	1336	2112	169	150	117	38	17	8	12
02007000080	381	869	26	47	26	20	5	5	5
02007000083	1877	5278	435	352	109	107	21	14	6
02007000084	1961	4870	428	380	155	77	27	12	11
02007000085	5857	9998	930	991	554	166	88	37	45
02007000086	5655	8296	955	903	590	194	58	45	37
02007000087	5280	4496	579	545	622	132	43	34	41
02007000088	1545	1432	220	165	122	44	19	12	8
02007000089	1489	3875	271	225	100	33	19	13	14
02007000090	11	17	0	1	0	1	1	1	0
02007000091	4090	2460	325	347	590	67	38	22	19
02007000092	3294	2258	173	308	160	77	25	20	28
02007000093	1528	1090	135	162	122	25	16	13	2
02008000098	8940	12409	2118	418	623	141	37	106	19
02008000099	116	243	46	7	0	6	1	1	2
02008000100	55	154	16	2	1	0	1	1	0
02008000101	89	133	43	1	12	1	0	3	0
02008000102	27	53	8	3	4	0	0	0	0
02008000103	19	63	10	1	2	0	0	2	0
02008000104	48	91	15	2	10	1	1	1	0
02009000105	9360	5413	598	379	353	65	18	21	30
02009000106	140	106	10	8	6	3	2	0	0
02009000107	1301	355	37	45	32	2	2	3	1
02009000108	30	26	6	0	1	0	0	0	0
02009000109	10	10	1	0	1	0	0	0	0
02009000110	161	158	11	6	6	2	1	0	2
02009000111	88	70	11	3	1	0	0	0	0
02009000113	626	248	23	10	15	2	1	0	1
02009000114	10	6	1	0	0	0	0	0	0
02010000117	7054	7428	1354	155	242	63	31	18	14
02010000118	182	251	36	6	7	1	0	0	0
02010000120	111	197	45	8	0	2	0	0	0
02011000789	17628	6314	1715	991	500	214	81	73	47
02011000790	8072	4935	1124	664	288	110	26	44	8
02011000792	9674	4721	1001	559	315	103	38	33	17
02012000511	2965	1284	319	142	62	53	16	10	5
02012000512	9071	5000	1023	443	170	130	36	21	12
02012000513	13605	6547	1446	758	205	207	39	37	22
02013000125	6903	8028	2126	568	108	41	30	16	19
02013000126	3	13	3	0	0	0	0	0	0
02013000127	95	62	27	0	2	2	0	0	0
02013000128	10	30	5	1	0	0	0	0	0
02013000129	21	9	3	1	0	1	0	0	0
02013000131	15	22	7	1	0	0	0	0	0
02013000132	620	892	130	25	5	9	2	1	2
02013000133	449	503	63	23	1	1	4	1	2
02014000136	10843	9778	1594	341	184	72	47	16	15
02014000137	486	245	43	22	11	5	2	2	1
02014000138	36	50	0	1	0	0	0	3	0
02014000139	11	5	1	0	0	0	0	0	0
02014000140	140	192	21	0	3	0	0	0	0
02014000141	81	70	4	3	2	1	1	1	0
02014000142	0	0	0	0	0	0	0	0	0
02014000143	776	710	129	26	20	9	6	2	1
02014000144	78	205	18	2	0	1	0	0	0
02014000145	82	206	21	3	1	0	1	0	0
02015000148	7581	5558	575	325	196	56	28	14	23
