Depto	Partido	Circuito	Mesa	Votos
Almirante Brown	CELESTE Y BLANCA U	0018	140	98
Almirante Brown	CAMBIANDO JUNTOS	0018	141	68
Almirante Brown	CELESTE Y BLANCA U	0018	141	112
Almirante Brown	CAMBIANDO JUNTOS	0018	142	98
Almirante Brown	CELESTE Y BLANCA U	0018	142	105
Almirante Brown	CAMBIANDO JUNTOS	0018	143	77
Almirante Brown	CELESTE Y BLANCA U	0018	143	112
Almirante Brown	CAMBIANDO JUNTOS	0018	144	80
Almirante Brown	CELESTE Y BLANCA U	0018	144	104
Almirante Brown	CAMBIANDO JUNTOS	0018	145	102
Almirante Brown	CELESTE Y BLANCA U	0018	145	86
Almirante Brown	CAMBIANDO JUNTOS	0018	146	102
Almirante Brown	CELESTE Y BLANCA U	0018	146	102
Almirante Brown	CAMBIANDO JUNTOS	0018	147	103
Almirante Brown	CELESTE Y BLANCA U	0018	147	85
Almirante Brown	CAMBIANDO JUNTOS	0018	148	109
Almirante Brown	CELESTE Y BLANCA U	0018	148	108
Almirante Brown	CAMBIANDO JUNTOS	0018	149	101
Almirante Brown	CELESTE Y BLANCA U	0018	149	76
Almirante Brown	CAMBIANDO JUNTOS	0018	150	95
Almirante Brown	CELESTE Y BLANCA U	0018	150	89
Almirante Brown	CAMBIANDO JUNTOS	0018	151	72
Almirante Brown	CELESTE Y BLANCA U	0018	151	106
Almirante Brown	CAMBIANDO JUNTOS	0018	152	86
Almirante Brown	CELESTE Y BLANCA U	0018	152	118
Almirante Brown	CAMBIANDO JUNTOS	0018	153	76
Almirante Brown	CELESTE Y BLANCA U	0018	153	116
Almirante Brown	CAMBIANDO JUNTOS	0018	154	92
Almirante Brown	CELESTE Y BLANCA U	0018	154	101
Almirante Brown	CAMBIANDO JUNTOS	0018	155	64
Almirante Brown	CELESTE Y BLANCA U	0018	155	128
Almirante Brown	CAMBIANDO JUNTOS	0018	156	59
Almirante Brown	CELESTE Y BLANCA U	0018	156	65
Almirante Brown	CAMBIANDO JUNTOS	0018A	157	49
Almirante Brown	CELESTE Y BLANCA U	0018A	157	148
Almirante Brown	CAMBIANDO JUNTOS	0018A	158	41
Almirante Brown	CELESTE Y BLANCA U	0018A	158	140
Almirante Brown	CAMBIANDO JUNTOS	0018A	159	65
Almirante Brown	CELESTE Y BLANCA U	0018A	159	119
Almirante Brown	CAMBIANDO JUNTOS	0018A	160	47
Almirante Brown	CELESTE Y BLANCA U	0018A	160	140
Almirante Brown	CAMBIANDO JUNTOS	0018A	161	0
Almirante Brown	CELESTE Y BLANCA U	0018A	161	0
