CODIGO PROVINCIA;CODIGO DEPARTAMENTO;CODIGO CIRCUITO   ;CODIGO MESA;AMBITO;CODIGO VOTOS;VOTOS
01;001;0003 ;0063; ;0131;044
01;001;0003 ;0063; ;0135;213
01;001;0003 ;0064; ;9001;324
01;001;0003 ;0064; ;9002;272
01;001;0003 ;0064; ;9003;000
01;001;0003 ;0064; ;9004;001
01;001;0003 ;0064; ;9005;002
01;001;0003 ;0064; ;9006;000
01;001;0003 ;0064; ;0131;035
01;001;0003 ;0064; ;0135;234
01;001;0003 ;0065; ;9001;325
01;001;0003 ;0065; ;9002;259
01;001;0003 ;0065; ;9003;000
01;001;0003 ;0065; ;9004;005
01;001;0003 ;0065; ;9005;000
01;001;0003 ;0065; ;9006;000
01;001;0003 ;0065; ;0131;033
01;001;0003 ;0065; ;0135;221
01;001;0003 ;0066; ;9001;325
01;001;0003 ;0066; ;9002;000
01;001;0003 ;0066; ;9003;000
01;001;0003 ;0066; ;9004;002
01;001;0003 ;0066; ;9005;002
01;001;0003 ;0066; ;9006;000
01;001;0003 ;0066; ;0131;032
01;001;0003 ;0066; ;0135;214
01;001;0004 ;0067; ;9001;339
01;001;0004 ;0067; ;9002;264
01;001;0004 ;0067; ;9003;000
01;001;0004 ;0067; ;9004;003
01;001;0004 ;0067; ;9005;000
01;001;0004 ;0067; ;9006;000
01;001;0004 ;0067; ;0131;042
01;001;0004 ;0067; ;0135;219
01;001;0004 ;0068; ;9001;336
01;001;0004 ;0068; ;9002;259
01;001;0004 ;0068; ;9003;000
01;001;0004 ;0068; ;9004;002
01;001;0004 ;0068; ;9005;001
01;001;0004 ;0068; ;9006;000
01;001;0004 ;0068; ;0131;029
01;001;0004 ;0068; ;0135;227
01;001;0004 ;0069; ;9001;338
01;001;0004 ;0069; ;9002;256
01;001;0004 ;0069; ;9003;000
01;001;0004 ;0069; ;9004;000
01;001;0004 ;0069; ;9005;003
01;001;0004 ;0069; ;9006;000
01;001;0004 ;0069; ;0131;040
01;001;0004 ;0069; ;0135;213
01;001;0004 ;0070; ;9001;338
01;001;0004 ;0070; ;9002;265
01;001;0004 ;0070; ;9003;000
01;001;0004 ;0070; ;9004;005
01;001;0004 ;0070; ;9005;000
01;001;0004 ;0070; ;9006;000
01;001;0004 ;0070; ;0131;033
01;001;0004 ;0070; ;0135;227
01;001;0004 ;0071; ;9001;338
01;001;0004 ;0071; ;9002;273
01;001;0004 ;0071; ;9003;000
01;001;0004 ;0071; ;9004;001
01;001;0004 ;0071; ;9005;000
01;001;0004 ;0071; ;9006;000
01;001;0004 ;0071; ;0131;036
01;001;0004 ;0071; ;0135;236
01;001;0004 ;0072; ;9001;338
01;001;0004 ;0072; ;9002;262
01;001;0004 ;0072; ;9003;000
01;001;0004 ;0072; ;9004;001
01;001;0004 ;0072; ;9005;000
01;001;0004 ;0072; ;9006;000
01;001;0004 ;0072; ;0131;038
01;001;0004 ;0072; ;0135;223
01;001;0005 ;0073; ;9001;339
01;001;0005 ;0073; ;9002;228
01;001;0005 ;0073; ;9003;000
01;001;0005 ;0073; ;9004;001
01;001;0005 ;0073; ;9005;000
01;001;0005 ;0073; ;9006;000
01;001;0005 ;0073; ;0131;167
01;001;0005 ;0073; ;0135;060
01;001;0005 ;0074; ;9001;339
01;001;0005 ;0074; ;9002;240
01;001;0005 ;0074; ;9003;000
01;001;0005 ;0074; ;9004;000
01;001;0005 ;0074; ;9005;000
01;001;0005 ;0074; ;9006;000
01;001;0005 ;0074; ;0131;184
01;001;0005 ;0074; ;0135;056
01;001;0005 ;0075; ;9001;339
01;001;0005 ;0075; ;9002;207
01;001;0005 ;0075; ;9003;000
01;001;0005 ;0075; ;9004;004
01;001;0005 ;0075; ;9005;001
01;001;0005 ;0075; ;9006;000
01;001;0005 ;0075; ;0131;162
01;001;0005 ;0075; ;0135;040
01;001;0005 ;0076; ;9001;340
01;001;0005 ;0076; ;9002;219
01;001;0005 ;0076; ;9003;000
01;001;0005 ;0076; ;9004;001
01;001;0005 ;0076; ;9005;004
01;001;0005 ;0076; ;9006;000
01;001;0005 ;0076; ;0131;160
01;001;0005 ;0076; ;0135;054
01;001;0005 ;0077; ;9001;341
01;001;0005 ;0077; ;9002;230
01;001;0005 ;0077; ;9003;000
01;001;0005 ;0077; ;9004;004
01;001;0005 ;0077; ;9005;002
01;001;0005 ;0077; ;9006;000
01;001;0005 ;0077; ;0131;157
01;001;0005 ;0077; ;0135;067
01;001;0005 ;0078; ;9001;340
01;001;0005 ;0078; ;9002;228
01;001;0005 ;0078; ;9003;000
01;001;0005 ;0078; ;9004;000
01;001;0005 ;0078; ;9005;002
01;001;0005 ;0078; ;9006;001
01;001;0005 ;0078; ;0131;165
01;001;0005 ;0078; ;0135;060
01;001;0005 ;0079; ;9001;338
01;001;0005 ;0079; ;9002;232
01;001;0005 ;0079; ;9003;000
01;001;0005 ;0079; ;9004;000
01;001;0005 ;0079; ;9005;004
01;001;0005 ;0079; ;9006;000
01;001;0005 ;0079; ;0131;168
01;001;0005 ;0079; ;0135;060
01;001;0005 ;0080; ;9001;339
01;001;0005 ;0080; ;9002;207
01;001;0005 ;0080; ;9003;000
01;001;0005 ;0080; ;9004;021
01;001;0005 ;0080; ;9005;002
01;001;0005 ;0080; ;9006;000
01;001;0005 ;0080; ;0131;146
01;001;0005 ;0080; ;0135;057
01;001;0005 ;0081; ;9001;339
01;001;0005 ;0081; ;9002;210
01;001;0005 ;0081; ;9003;000
01;001;0005 ;0081; ;9004;002
01;001;0005 ;0081; ;9005;005
01;001;0005 ;0081; ;9006;000
01;001;0005 ;0081; ;0131;159
01;001;0005 ;0081; ;0135;044
01;001;0005 ;0082; ;9001;340
01;001;0005 ;0082; ;9002;210
01;001;0005 ;0082; ;9003;000
01;001;0005 ;0082; ;9004;000
01;001;0005 ;0082; ;9005;001
01;001;0005 ;0082; ;9006;000
01;001;0005 ;0082; ;0131;161
01;001;0005 ;0082; ;0135;048
01;001;0005 ;0083; ;9001;338
01;001;0005 ;0083; ;9002;234
01;001;0005 ;0083; ;9003;000
01;001;0005 ;0083; ;9004;002
01;001;0005 ;0083; ;9005;002
01;001;0005 ;0083; ;9006;000
01;001;0005 ;0083; ;0131;181
01;001;0005 ;0083; ;0135;049
01;001;0005 ;0084; ;9001;337
01;001;0005 ;0084; ;9002;215
01;001;0005 ;0084; ;9003;000
01;001;0005 ;0084; ;9004;003
01;001;0005 ;0084; ;9005;006
01;001;0005 ;0084; ;9006;000
01;001;0005 ;0084; ;0131;154
01;001;0005 ;0084; ;0135;052
01;001;0005 ;0085; ;9001;339
01;001;0005 ;0085; ;9002;238
01;001;0005 ;0085; ;9003;000
01;001;0005 ;0085; ;9004;003
01;001;0005 ;0085; ;9005;001
01;001;0005 ;0085; ;9006;000
01;001;0005 ;0085; ;0131;163
01;001;0005 ;0085; ;0135;071
01;001;0005 ;0086; ;9001;338
01;001;0005 ;0086; ;9002;225
01;001;0005 ;0086; ;9003;000
01;001;0005 ;0086; ;9004;001
01;001;0005 ;0086; ;9005;005
01;001;0005 ;0086; ;9006;000
01;001;0005 ;0086; ;0131;161
01;001;0005 ;0086; ;0135;058
01;001;0005 ;0087; ;9001;339
01;001;0005 ;0087; ;9002;213
01;001;0005 ;0087; ;9003;000
01;001;0005 ;0087; ;9004;001
01;001;0005 ;0087; ;9005;003
01;001;0005 ;0087; ;9006;002
01;001;0005 ;0087; ;0131;131
01;001;0005 ;0087; ;0135;076
01;001;0005 ;0088; ;9001;338
01;001;0005 ;0088; ;9002;000
01;001;0005 ;0088; ;9003;000
01;001;0005 ;0088; ;9004;001
01;001;0005 ;0088; ;9005;001
01;001;0005 ;0088; ;9006;000
01;001;0005 ;0088; ;0131;173
01;001;0005 ;0088; ;0135;051
01;001;0005 ;0089; ;9001;338
01;001;0005 ;0089; ;9002;192
01;001;0005 ;0089; ;9003;000
01;001;0005 ;0089; ;9004;001
01;001;0005 ;0089; ;9005;004
01;001;0005 ;0089; ;9006;000
01;001;0005 ;0089; ;0131;130
01;001;0005 ;0089; ;0135;057
01;001;0005 ;0090; ;9001;337
01;001;0005 ;0090; ;9002;222
01;001;0005 ;0090; ;9003;000
01;001;0005 ;0090; ;9004;002
