fecha	carrera
27-05-1992	Ingeniería Química
10-08-1988	Ingeniería Naval
01-03-1983	Ingeniería Industrial
24-07-1997	Ingeniería Mecánica
25-07-2012	Ingeniería Industrial
02-08-1995	Ingeniería Industrial
16-02-1987	Ingeniería Industrial
05-08-2003	Ingeniería Industrial
29-08-2009	Ingeniería Química
10-02-2012	Lic.en Administración y Sistemas
14-07-2016	Ingeniería Mecánica
26-06-1996	Ingeniería Química
29-07-2014	Ingeniería Mecánica
25-08-2008	Ingeniería Mecánica
02-07-1991	Ingeniería Eléctrica
01-04-1991	Ingeniería Mecánica
23-05-1979	Licenciatura en Hidrografía
13-08-2010	Ingeniería Electrónica
03-07-2014	Ingeniería Industrial
14-08-2014	Ingeniería Mecánica
06-08-1992	Ingeniería Industrial
08-06-1999	Ingeniería Electrónica
01-09-2000	Ingeniería Industrial
14-07-2008	Lic.en Administración y Sistemas
05-09-2012	Ingeniería Industrial
18-08-2015	Ingeniería Electrónica
01-12-1979	Ingeniería Industrial
23-12-2005	Ingeniería Química
17-02-2014	Ingeniería Industrial
01-12-1981	Ingeniería Industrial
21-05-2008	Ingeniería Industrial
25-06-1997	Ingeniería Industrial
18-02-2016	Lic.en Administración y Sistemas
08-06-1999	Ingeniería Electrónica
18-06-2009	Ingeniería Industrial
28-12-2004	Ingeniería Industrial
06-04-1984	Ingeniería Electrónica
26-07-2001	Ingeniería Industrial
12-02-1996	Licenciatura en Informática
15-09-2006	Ingeniería Industrial
29-06-1994	Ingeniería Industrial
01-04-1967	Ingeniería Electrónica
01-08-2001	Ingeniería Industrial
24-05-1994	Ingeniería Industrial
13-08-2012	Ingeniería Industrial
21-07-2006	Ingeniería Electrónica
07-08-2014	Ingeniería Industrial
03-11-2010	Ingeniería en Informática
15-08-2007	Ingeniería Industrial
26-08-2004	Ingeniería Electrónica
01-12-1974	Ingeniería Industrial
01-08-1977	Ingeniería Mecánica
01-12-1973	Ingeniería Industrial
14-08-2012	Ingeniería Industrial
05-09-2011	Ingeniería Industrial
17-04-2000	Ingeniería Industrial
29-08-2012	Ingeniería Industrial
01-12-1979	Ingeniería Industrial
06-07-2001	Ingeniería Industrial
29-08-2009	Ingeniería Química
16-12-2013	Ingeniería Industrial
27-07-2011	Ingeniería en Informática
15-02-2011	Lic.en Administración y Sistemas
11-04-2002	Ingeniería Química
26-05-2009	Ingeniería Industrial
27-07-2001	Ingeniería Industrial
16-12-2004	Ingeniería Química
16-08-2000	Ingeniería Industrial
28-08-1986	Ingeniería Electrónica
01-03-1966	Ingeniería en Armas
23-06-1994	Ingeniería Industrial
15-05-1985	Ingeniería Industrial
05-03-2015	Ingeniería Industrial
02-08-1996	Ingeniería Industrial
25-03-2004	Ingeniería en Informática
01-05-1990	Ingeniería Eléctrica
04-05-1990	Ingeniería Mecánica
24-07-1992	Ingeniería Industrial
24-09-2010	Ingeniería Industrial
14-07-1993	Ingeniería Industrial
28-08-2002	Ingeniería en Informática
02-03-2004	Ingeniería en Informática
25-02-1994	Licenciatura en Oceanografía
15-04-2010	Ingeniería Mecánica
18-02-1993	Licenciatura en Informática
04-08-2016	Ingeniería Electrónica
15-06-1992	Ingeniería Naval
19-02-1991	Ingeniería Mecánica
29-12-2008	Ingeniería Industrial
22-12-2015	Ingeniería Industrial
01-03-1971	Licenciatura en Oceanografía
03-12-2007	Ingeniería Industrial
17-08-2000	Ingeniería Química
14-02-2002	Ingeniería Industrial
01-07-1983	Ingeniería Naval
06-12-1983	Ingeniería Eléctrica
01-04-1984	Ingeniería Electrónica
22-03-2011	Ingeniería Industrial
08-10-1993	Ingeniería Mecánica
22-04-1993	Ingeniería Mecánica
28-06-1994	Ingeniería Electrónica
14-07-2010	Ingeniería en Informática
29-07-2009	Ingeniería en Informática
19-12-2007	Lic.en Administración y Sistemas
13-02-2009	Lic.en Administración y Sistemas
26-07-2004	Ingeniería Industrial
26-04-1994	Ingeniería Electrónica
13-08-2013	Ingeniería Industrial
22-07-1993	Ingeniería Electrónica
23-06-1994	Ingeniería Industrial
23-12-2010	Ingeniería Industrial
01-07-1983	Ingeniería Industrial
05-05-1987	Ingeniería Industrial
11-07-2002	Ingeniería Electrónica
01-08-1978	Licenciatura en Oceanografía
04-08-2016	Ingeniería Industrial
17-07-1997	Ingeniería Industrial
14-08-2001	Ingeniería Industrial
30-04-2002	Ingeniería Electrónica
26-05-1999	Ingeniería Industrial
18-05-2011	Ingeniería Electrónica
28-12-2012	Ingeniería Industrial
19-02-1991	Ingeniería Industrial
01-03-1971	Ingeniería Industrial
18-12-2009	Ingeniería en Informática
31-07-2014	Ingeniería Industrial
05-08-2014	Ingeniería Química
20-03-2012	Ingeniería Electrónica
29-07-2009	Ingeniería en Informática
21-02-1991	Ingeniería Química
28-08-2000	Ingeniería Química
09-08-1999	Ingeniería Electrónica
28-04-2015	Ingeniería Electrónica
23-04-2013	Ingeniería en Petróleo
10-08-1995	Ingeniería Industrial
01-09-2005	Ingeniería Industrial
27-08-2005	Ingeniería Química
06-07-2011	Ingeniería en Informática
30-04-2001	Ingeniería en Informática
01-12-1973	Ingeniería Industrial
01-12-1970	Ingeniería Electrónica
21-07-2016	Ingeniería Industrial
20-12-2008	Ingeniería Industrial
18-06-2014	Ingeniería Mecánica
06-06-2014	Ingeniería Mecánica
14-08-1998	Ingeniería Química
21-12-1993	Ingeniería Industrial
22-12-1992	Licenciatura en Informática
30-07-1985	Ingeniería Química
07-04-1987	Ingeniería Industrial
27-08-2010	Ingeniería Electrónica
03-03-2003	Ingeniería en Informática
28-06-1994	Ingeniería Industrial
01-04-1982	Ingeniería Mecánica
28-02-1986	Ingeniería Industrial
09-11-1988	Ingeniería Industrial
03-08-2016	Ingeniería Industrial
29-08-2000	Ingeniería Industrial
06-05-1986	Ingeniería Industrial
15-05-1995	Ingeniería en Petróleo
14-08-2014	Ingeniería Industrial
01-12-1975	Ingeniería Industrial
01-04-1967	Ingeniería Industrial
21-04-1997	Ingeniería Química
31-05-1996	Ingeniería Química
03-05-1990	Ingeniería Industrial
07-08-2007	Ingeniería Química
13-08-2015	Ingeniería en Petróleo
07-07-1997	Ingeniería Industrial
13-08-2008	Ingeniería en Informática
